arch,freshness,knob_name,knob_value,topk,num_queries,recall_at_10,recall_at_100,latency_p50_ms,latency_p95_ms,latency_p99_ms,qps
hnsw,fresh,efSearch,16,10,5000,0.95954,0.629184,0.0287,0.0646,0.7056,22835.5765
hnsw,fresh,efSearch,32,10,5000,0.97972,0.795114,0.0447,0.1026,0.1782,18254.5237
hnsw,fresh,efSearch,64,10,5000,0.98688,0.923112,0.0677,0.0909,0.154,14182.4788
hnsw,fresh,efSearch,128,10,5000,0.9903,0.975282,0.1211,0.1545,0.1817,8036.67
hnsw,fresh,efSearch,256,10,5000,0.99178,0.990066,0.2029,0.2208,0.261,4885.6822
hnsw,fresh,efSearch,16,10,5000,0.95954,0.629184,0.0278,0.0354,0.261,31780.4604
hnsw,fresh,efSearch,32,10,5000,0.97972,0.795114,0.0432,0.0667,0.1048,21687.7346
hnsw,fresh,efSearch,64,10,5000,0.98688,0.923112,0.0731,0.1348,0.1655,11702.6327
hnsw,fresh,efSearch,128,10,5000,0.9903,0.975282,0.1396,0.1844,0.221,7114.9242
hnsw,fresh,efSearch,256,10,5000,0.99178,0.990066,0.2027,0.2225,0.2496,4887.8999
hnsw,partial,efSearch,16,10,5000,0.74408,0.572014,0.0298,0.041,0.1426,31031.0249
hnsw,partial,efSearch,32,10,5000,0.7634,0.665368,0.0456,0.0734,0.0839,20407.2479
hnsw,partial,efSearch,64,10,5000,0.76934,0.697598,0.0721,0.1307,0.1759,12558.5774
hnsw,partial,efSearch,128,10,5000,0.7713,0.698514,0.12,0.1608,0.2183,8035.9544
hnsw,partial,efSearch,256,10,5000,0.77294,0.697322,0.2126,0.2565,0.3119,4614.7075
hnsw,stale,efSearch,16,10,5000,0.73532,0.566094,0.0297,0.0451,0.1329,30894.2204
hnsw,stale,efSearch,32,10,5000,0.75038,0.656332,0.0445,0.0681,0.0769,21251.3515
hnsw,stale,efSearch,64,10,5000,0.75668,0.686232,0.0723,0.091,0.1451,13268.6892
hnsw,stale,efSearch,128,10,5000,0.75912,0.685906,0.1226,0.1628,0.2173,7846.3114
hnsw,stale,efSearch,256,10,5000,0.76034,0.683684,0.216,0.245,0.3038,4557.2717
ivf,fresh,nprobe,1,10,5000,0.60744,0.525682,0.0845,0.1041,0.3718,11252.3379
ivf,fresh,nprobe,2,10,5000,0.74066,0.66582,0.1601,0.2039,0.3008,6145.0572
ivf,fresh,nprobe,4,10,5000,0.84108,0.781594,0.299,0.3325,0.3818,3308.0811
ivf,fresh,nprobe,8,10,5000,0.90928,0.865446,0.5617,0.6192,0.6433,1766.7162
ivf,fresh,nprobe,16,10,5000,0.94882,0.92328,1.0655,1.1698,1.229,932.0286
